Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,46.250000,46.250000,45.750000,45.750000,37.890533,8795700
2013-01-03,46.000000,46.000000,44.500000,44.500000,36.855278,23589400
2013-01-04,44.250000,44.750000,44.000000,44.750000,37.062325,24372100
2013-01-07,45.000000,45.500000,44.500000,45.250000,37.476429,13661900
2013-01-08,45.250000,46.000000,45.000000,46.000000,38.097584,15380400
2013-01-09,46.500000,46.500000,45.500000,45.750000,37.890533,11582900
2013-01-10,46.000000,46.000000,44.750000,45.000000,37.269371,17749100
2013-01-11,45.000000,45.250000,44.250000,45.000000,37.269371,22115300
2013-01-14,45.000000,45.250000,44.500000,45.250000,37.476429,11722500
2013-01-15,45.250000,45.250000,44.750000,45.250000,37.476429,9214000
2013-01-16,45.250000,45.250000,44.250000,44.750000,37.062325,12674100
2013-01-17,45.000000,45.750000,44.750000,45.750000,37.890533,16109900
2013-01-18,45.750000,46.500000,45.250000,46.250000,38.304634,29020800
2013-01-21,46.500000,48.000000,46.500000,47.500000,39.339897,31871000
2013-01-22,47.750000,48.500000,47.500000,47.750000,39.546947,20314500
2013-01-23,47.750000,48.000000,47.000000,48.000000,39.754002,18060700
2013-01-24,48.500000,48.500000,47.750000,48.000000,39.754002,29283500
2013-01-25,48.250000,49.250000,48.000000,49.000000,40.582203,30046500
2013-01-28,49.000000,49.250000,48.000000,48.250000,39.961056,20464300
2013-01-29,48.750000,48.750000,47.750000,48.000000,39.754002,31495000
2013-01-30,48.000000,48.250000,47.250000,47.250000,39.132847,33075800
2013-01-31,46.750000,47.000000,46.500000,46.750000,38.718742,30685700
2013-02-01,47.500000,47.750000,47.000000,47.500000,39.339897,16927600
2013-02-04,48.000000,48.750000,48.000000,48.500000,40.168106,19604600
2013-02-05,48.000000,48.000000,47.500000,47.750000,39.546947,17451400
2013-02-06,47.750000,48.000000,47.000000,47.000000,38.925789,16323800
2013-02-07,47.000000,47.250000,46.500000,47.000000,38.925789,13165800
2013-02-08,47.000000,47.250000,46.250000,47.000000,38.925789,28656000
2013-02-11,47.250000,48.000000,47.000000,47.250000,39.132847,17627400
2013-02-12,47.750000,48.250000,47.500000,47.750000,39.546947,7594500
2013-02-13,48.250000,48.500000,47.750000,48.250000,39.961056,13029000
2013-02-14,48.500000,48.500000,47.500000,48.250000,39.961056,12493800
2013-02-15,48.250000,48.750000,48.000000,48.500000,40.168106,11129400
2013-02-18,48.500000,49.750000,48.250000,49.250000,40.789257,21634400
2013-02-19,49.500000,50.000000,49.250000,49.500000,40.996311,10642400
2013-02-20,50.000000,52.000000,49.250000,52.000000,43.066830,53425000
2013-02-21,51.250000,51.750000,49.250000,49.750000,41.203362,34448800
2013-02-22,48.000000,48.250000,47.500000,47.750000,39.546947,161821800
2013-02-26,47.750000,47.750000,46.500000,46.750000,38.718742,84117800
2013-02-27,47.250000,47.250000,46.750000,46.750000,38.718742,30578300
2013-02-28,47.000000,47.250000,46.750000,47.250000,39.132847,25418500
2013-03-01,47.250000,48.000000,47.250000,47.750000,39.546947,21211100
2013-03-04,47.500000,47.750000,46.750000,47.000000,38.925789,23250800
2013-03-05,48.000000,48.000000,47.250000,47.750000,39.546947,17402900
2013-03-06,47.750000,47.750000,47.250000,47.500000,39.339897,10907700
2013-03-07,47.750000,47.750000,47.250000,47.500000,39.339897,12968100
2013-03-08,47.750000,47.750000,47.000000,47.250000,39.132847,12983800
2013-03-11,47.250000,47.500000,46.500000,46.500000,38.511684,24415300
2013-03-12,46.500000,46.750000,45.000000,45.500000,37.683479,45865900
2013-03-13,45.250000,46.750000,45.000000,46.750000,38.718742,26854500
2013-03-14,46.750000,46.750000,46.000000,46.000000,38.097584,19033500
2013-03-15,46.250000,46.500000,45.250000,45.750000,37.890533,25739000
2013-03-18,45.250000,45.500000,45.000000,45.500000,37.683479,15789400
2013-03-19,45.750000,45.750000,44.750000,44.750000,37.062325,22838600
2013-03-20,45.250000,46.250000,44.750000,45.750000,37.890533,40733200
2013-03-21,45.750000,46.500000,45.250000,46.000000,38.097584,29744700
2013-03-22,46.000000,46.500000,44.750000,45.000000,37.269371,42350900
2013-03-25,46.000000,46.250000,44.750000,45.000000,37.269371,24436300
2013-03-26,45.000000,45.250000,44.750000,45.000000,37.269371,30993600
2013-03-27,45.250000,45.500000,44.750000,45.000000,37.269371,34498800
2013-03-28,45.250000,45.750000,44.750000,45.750000,37.890533,25297200
2013-03-29,45.750000,46.250000,45.500000,46.250000,38.304634,8547200
2013-04-01,46.250000,46.250000,45.750000,46.000000,38.097584,9158000
2013-04-02,46.250000,47.000000,46.000000,46.750000,38.718742,16544400
2013-04-03,47.000000,47.250000,45.750000,46.250000,38.304634,18163500
2013-04-04,45.250000,46.250000,45.250000,46.250000,38.304634,9267600
2013-04-05,46.000000,46.000000,45.000000,45.000000,37.269371,17847500
2013-04-09,45.750000,45.750000,45.000000,45.000000,37.269371,10492900
2013-04-10,45.250000,45.750000,44.500000,45.750000,37.890533,9899200
2013-04-11,45.750000,46.000000,45.500000,46.000000,38.097584,8560400
2013-04-12,45.750000,47.000000,45.750000,46.000000,38.097584,12145800
2013-04-17,46.000000,46.500000,45.500000,45.500000,37.683479,30394100
2013-04-18,45.750000,46.250000,45.500000,45.500000,37.683479,11521300
2013-04-19,45.750000,46.500000,45.500000,46.250000,38.304634,12448500
2013-04-22,46.250000,46.500000,43.000000,43.500000,36.027069,96480700
2013-04-23,43.500000,43.500000,43.500000,43.500000,36.027069,0
2013-04-24,38.500000,40.500000,38.500000,39.000000,32.300125,488146700
2013-04-25,39.500000,41.500000,39.250000,41.000000,33.956543,340762700
2013-04-26,41.250000,44.000000,41.250000,43.750000,36.234112,193344600
2013-04-29,44.500000,44.750000,43.250000,43.750000,36.234112,115835400
2013-04-30,43.750000,44.000000,42.250000,44.000000,36.441166,148243000
2013-05-02,42.750000,43.000000,41.500000,41.500000,35.088360,129791100
2013-05-03,41.750000,42.000000,41.250000,41.500000,35.088360,49317400
2013-05-07,42.000000,42.250000,41.500000,42.000000,35.511112,87754800
2013-05-08,42.250000,42.250000,41.500000,41.500000,35.088360,52672200
2013-05-09,41.500000,41.750000,41.250000,41.500000,35.088360,57224200
2013-05-10,41.500000,41.750000,40.500000,41.000000,34.665607,52224800
2013-05-13,41.250000,42.250000,41.000000,42.000000,35.511112,87983300
2013-05-14,42.250000,43.000000,42.000000,43.000000,36.356617,51111300
2013-05-15,43.250000,43.250000,42.500000,43.000000,36.356617,51704400
2013-05-16,43.000000,43.250000,42.500000,43.000000,36.356617,36435500
2013-05-17,43.000000,43.250000,42.750000,43.000000,36.356617,22000000
2013-05-20,43.250000,43.750000,43.000000,43.500000,36.779373,32857800
2013-05-21,43.500000,44.250000,43.500000,44.000000,37.202118,68628200
2013-05-22,44.000000,44.500000,43.500000,43.500000,36.779373,46923500
2013-05-23,43.500000,43.750000,42.500000,43.250000,36.567989,47817800
2013-05-27,43.000000,43.500000,42.500000,43.500000,36.779373,27606400
2013-05-28,43.500000,43.750000,43.250000,43.750000,36.990746,32178200
2013-05-29,43.500000,44.000000,43.250000,43.750000,36.990746,27228600
2013-05-30,43.500000,43.500000,43.000000,43.250000,36.567989,16932600
2013-05-31,43.000000,43.250000,42.750000,43.000000,36.356617,25808800
2013-06-03,42.750000,43.000000,42.000000,42.000000,35.511112,30807000
2013-06-04,42.000000,42.500000,41.000000,41.750000,35.299736,47663100
2013-06-05,41.500000,42.250000,41.000000,41.500000,35.088360,36991500
2013-06-06,41.250000,41.500000,40.000000,40.750000,34.454231,52788000
2013-06-07,40.500000,41.500000,40.500000,41.250000,34.876980,28662700
2013-06-10,41.750000,42.000000,41.500000,41.750000,35.299736,18859100
2013-06-11,41.500000,41.750000,39.250000,40.250000,34.031479,44511400
2013-06-12,40.000000,41.750000,40.000000,41.000000,34.665607,32809100
2013-06-13,39.750000,40.500000,38.750000,40.500000,34.242863,45721100
2013-06-14,40.750000,41.250000,39.750000,40.250000,34.031479,40373000
2013-06-17,40.500000,41.250000,40.000000,40.500000,34.242863,32084300
2013-06-18,40.500000,40.500000,38.500000,38.500000,32.551861,49682600
2013-06-19,39.000000,39.000000,37.250000,37.500000,31.706352,71177300
2013-06-20,36.750000,36.750000,34.500000,34.500000,29.169842,104256500
2013-06-21,34.500000,36.250000,33.250000,36.250000,30.649475,104428500
2013-06-24,36.000000,37.250000,35.750000,36.250000,30.649475,43550400
2013-06-25,36.500000,37.500000,35.750000,37.250000,31.494972,68265000
2013-06-26,37.750000,39.000000,37.750000,39.000000,32.974602,48806400
2013-06-27,39.500000,39.750000,38.500000,38.750000,32.763222,50466600
2013-06-28,39.500000,39.500000,38.750000,39.000000,32.974602,28923500
2013-07-02,39.750000,39.750000,38.250000,38.750000,32.763222,21265400
2013-07-03,38.250000,38.750000,37.250000,38.000000,32.129112,23833000
2013-07-04,38.000000,38.000000,37.000000,37.250000,31.494972,12597100
2013-07-05,37.750000,37.750000,36.500000,36.750000,31.072226,19750200
2013-07-08,36.250000,36.500000,35.500000,35.750000,30.226723,17770500
2013-07-09,35.750000,36.500000,35.500000,35.750000,30.226723,12070800
2013-07-10,35.750000,36.250000,34.750000,35.250000,29.803965,16579100
2013-07-11,36.000000,37.500000,36.000000,37.250000,31.494972,23565600
2013-07-12,37.500000,37.750000,37.000000,37.500000,31.706352,22083900
2013-07-15,37.750000,37.750000,37.250000,37.500000,31.706352,10597700
2013-07-16,37.750000,38.000000,37.500000,37.750000,31.917725,12758100
2013-07-17,38.000000,38.000000,37.000000,37.250000,31.494972,13395500
2013-07-18,37.500000,38.750000,37.250000,38.500000,32.551861,35169000
2013-07-19,38.750000,38.750000,37.500000,37.500000,31.706352,23546300
2013-07-23,38.000000,38.500000,37.750000,38.250000,32.340477,33317200
2013-07-24,38.250000,38.500000,38.000000,38.250000,32.340477,21016000
2013-07-25,38.250000,38.250000,37.250000,37.250000,31.494972,20864700
2013-07-26,37.250000,37.750000,37.250000,37.500000,31.706352,23669700
2013-07-29,37.250000,37.500000,37.000000,37.250000,31.494972,9863100
2013-07-30,37.750000,37.750000,36.000000,36.500000,30.860847,21885700
2013-07-31,36.500000,36.500000,34.500000,35.000000,29.592592,38864200
2013-08-01,35.000000,35.250000,34.000000,34.000000,28.747091,33211900
2013-08-02,34.500000,34.750000,33.500000,34.000000,28.747091,44268200
2013-08-05,34.250000,35.500000,34.000000,35.250000,29.803965,21838700
2013-08-06,35.000000,37.250000,35.000000,37.000000,31.283596,31478400
2013-08-07,36.750000,37.000000,36.250000,36.750000,31.072226,8784200
2013-08-08,36.500000,36.750000,35.750000,36.000000,30.438101,23561600
2013-08-09,36.250000,36.250000,35.750000,35.750000,30.226723,12359100
2013-08-13,36.000000,38.250000,35.750000,38.250000,32.340477,35018300
2013-08-14,38.500000,39.500000,37.750000,39.000000,32.974602,39385100
2013-08-15,38.750000,39.000000,38.500000,38.750000,32.763222,14893000
2013-08-16,38.500000,38.750000,38.000000,38.250000,32.340477,12784000
2013-08-19,38.000000,38.000000,36.250000,36.250000,30.649475,35835400
2013-08-20,35.750000,36.250000,35.000000,35.750000,30.226723,33682800
2013-08-21,35.500000,36.500000,35.250000,36.000000,30.438101,26145000
2013-08-22,35.250000,35.750000,34.750000,35.250000,29.803965,35121800
2013-08-23,35.500000,35.750000,34.500000,34.500000,29.169842,35206300
2013-08-26,35.000000,35.500000,34.750000,35.000000,29.592592,20058100
2013-08-27,35.250000,35.250000,33.000000,34.000000,28.747091,43270000
2013-08-28,33.000000,33.750000,32.000000,32.750000,27.690212,46169400
2013-08-29,33.000000,34.250000,32.250000,34.000000,28.747091,35954700
2013-08-30,34.000000,34.500000,32.250000,32.750000,27.690212,52901800
2013-09-02,33.000000,33.750000,32.750000,33.250000,28.112963,31211100
